Subject,Start Date,Start Time,End Time,Location
INF 1002 - Programming Fundamentals,28/08/2023,04:00:00 PM,06:00:00 PM,Online
INF 1002 - Programming Fundamentals,04/09/2023,04:00:00 PM,06:00:00 PM,Online
INF 1002 - Programming Fundamentals,11/09/2023,04:00:00 PM,06:00:00 PM,Online
INF 1002 - Programming Fundamentals,18/09/2023,04:00:00 PM,06:00:00 PM,Online
INF 1002 - Programming Fundamentals,25/09/2023,04:00:00 PM,06:00:00 PM,Online
INF 1002 - Programming Fundamentals,02/10/2023,04:00:00 PM,06:00:00 PM,Online
INF 1002 - Programming Fundamentals,16/10/2023,04:00:00 PM,06:00:00 PM,Online
INF 1002 - Programming Fundamentals,23/10/2023,04:00:00 PM,06:00:00 PM,Online
INF 1002 - Programming Fundamentals,30/10/2023,04:00:00 PM,06:00:00 PM,Online
INF 1002 - Programming Fundamentals,06/11/2023,04:00:00 PM,06:00:00 PM,Online
INF 1002 - Programming Fundamentals,20/11/2023,04:00:00 PM,06:00:00 PM,Online
INF 1002 - Programming Fundamentals,08/09/2023,11:00:00 AM,01:00:00 PM,NYP-SR6H
INF 1002 - Programming Fundamentals,15/09/2023,11:00:00 AM,01:00:00 PM,NYP-SR6H
INF 1002 - Programming Fundamentals,22/09/2023,11:00:00 AM,01:00:00 PM,NYP-SR6H
INF 1002 - Programming Fundamentals,29/09/2023,11:00:00 AM,01:00:00 PM,NYP-SR6H
INF 1002 - Programming Fundamentals,06/10/2023,11:00:00 AM,01:00:00 PM,NYP-SR6H
INF 1002 - Programming Fundamentals,20/10/2023,11:00:00 AM,01:00:00 PM,NYP-SR6H
INF 1002 - Programming Fundamentals,27/10/2023,11:00:00 AM,01:00:00 PM,NYP-SR6H
INF 1002 - Programming Fundamentals,03/11/2023,11:00:00 AM,01:00:00 PM,NYP-SR6H
INF 1002 - Programming Fundamentals,10/11/2023,11:00:00 AM,01:00:00 PM,NYP-SR6H
INF 1002 - Programming Fundamentals,17/11/2023,11:00:00 AM,01:00:00 PM,NYP-SR6H
INF 1002 - Programming Fundamentals,24/11/2023,11:00:00 AM,01:00:00 PM,NYP-SR6H
