Subject,Start Date,Start Time,End Time,Location
INF 1003 - Mathematics 1,28/08/2023,01:00:00 PM,03:00:00 PM,Online
INF 1003 - Mathematics 1,04/09/2023,01:00:00 PM,03:00:00 PM,Online
INF 1003 - Mathematics 1,11/09/2023,01:00:00 PM,03:00:00 PM,Online
INF 1003 - Mathematics 1,18/09/2023,01:00:00 PM,03:00:00 PM,Online
INF 1003 - Mathematics 1,25/09/2023,01:00:00 PM,03:00:00 PM,Online
INF 1003 - Mathematics 1,02/10/2023,01:00:00 PM,03:00:00 PM,Online
INF 1003 - Mathematics 1,16/10/2023,01:00:00 PM,03:00:00 PM,Online
INF 1003 - Mathematics 1,23/10/2023,01:00:00 PM,03:00:00 PM,Online
INF 1003 - Mathematics 1,30/10/2023,01:00:00 PM,03:00:00 PM,Online
INF 1003 - Mathematics 1,06/11/2023,01:00:00 PM,03:00:00 PM,Online
INF 1003 - Mathematics 1,20/11/2023,01:00:00 PM,03:00:00 PM,Online
INF 1003 - Mathematics 1,31/08/2023,02:00:00 PM,04:00:00 PM,NYP-SR4A
INF 1003 - Mathematics 1,07/09/2023,02:00:00 PM,04:00:00 PM,NYP-SR4A
INF 1003 - Mathematics 1,14/09/2023,02:00:00 PM,04:00:00 PM,NYP-SR4A
INF 1003 - Mathematics 1,21/09/2023,02:00:00 PM,04:00:00 PM,NYP-SR4A
INF 1003 - Mathematics 1,28/09/2023,02:00:00 PM,04:00:00 PM,NYP-SR4A
INF 1003 - Mathematics 1,05/10/2023,02:00:00 PM,04:00:00 PM,NYP-SR4A
INF 1003 - Mathematics 1,19/10/2023,02:00:00 PM,04:00:00 PM,NYP-SR4A
INF 1003 - Mathematics 1,26/10/2023,02:00:00 PM,04:00:00 PM,NYP-SR4A
INF 1003 - Mathematics 1,02/11/2023,02:00:00 PM,04:00:00 PM,NYP-SR4A
INF 1003 - Mathematics 1,09/11/2023,02:00:00 PM,04:00:00 PM,NYP-SR4A
INF 1003 - Mathematics 1,16/11/2023,02:00:00 PM,04:00:00 PM,NYP-SR4A
INF 1003 - Mathematics 1,23/11/2023,02:00:00 PM,04:00:00 PM,NYP-SR4A
