Subject,Start Date,Start Time,End Time,Location
ICT 4012A - Integrated Work Study Programm,29/08/2023,04:00:00 PM,05:00:00 PM,NYP-LT3A
ICT 4012A - Integrated Work Study Programm,04/10/2023,02:00:00 PM,05:00:00 PM,Online
